barcode,author,title,440$v(volume),publisher,copyrightdate,pages,ClassificationNumber,041$h(language),3(stockhead),homebranch,650$a(subject),price,365$c(currency),923$d(billdate),923$n(billnumber),942$c(bookcategory),952$c(section),952$8(booktype),952$e(sourceofpurchase),952$1(loststatus)
LGARC#167,N.B.O.,Thin precast R.C.lintels,,NBO,1975,p,ARC,,,ARC,,0.75,,,,,,,,
LGARC#168,Lipschetz,Theory and Problem of programming,,McGrawhill,1982,314p,ARC,,,ARC,,54.1,,,,,,,,
LGARC#169,"Tutt,Patricia",VNR Metric H.B. of Architecture standerd,,Van nostrand rainhold,1979,"504p,",ARC,,,ARC,,263.35,,,,,,,,
LGARC#170,Begenal,The illustrated atlas of the worid's great building,,,1980,"182p,",ARC,,,ARC,,130.4,,,,,,,,
LGARC#171,Wade,Architecture Problem and Purpose,,,1977,"350p,",ARC,,,ARC,,593.35,,,,,,,,
LGARC#172,"Markus,TA",Buiding Climate & Energy,,Pitman,1980,"540p,",ARC,,,ARC,,179.6,,,,,,,,
LGARC#173,BPPL,Architectural Building Directory of India 1982-83,,BPPL,,"525p,",ARC,,,ARC,,100,,,,,,,,
LGARC#174,griffin,Dovelopment Building,,,1972,"130p,",ARC,,,ARC,,231,,,,,,,,
LGARC#175,Weidhas E.R.,Reading Architectural Plans,,,1977,"464p,",ARC,,,ARC,,342.55,,,,,,,,
LGARC#176,"Astin,Devid",How to Paint & Draw Animal,,,1977,"64p,",ARC,,,ARC,,65.45,,,,,,,,
